,A1,A2,A3,A4,B1,B2,B3,B4,all8
0,0.43809487857043755,0.674199862463242,0.14010386970716412,0.9759000729485332,0.42872521329194513,0.9589266029707683,0.9589266029707683,0.9647258942013031,0.9771907216494845
1,0.48270515929649455,0.6784005252999681,0.1416740052835275,0.9772376543209876,0.42714417362488555,0.9589072882771564,0.9471904400800195,0.9674225216125811,0.9835625468040312
2,0.3933143411494073,0.4160418968376663,0.10583737708199736,0.9616294415187687,0.4746536241690321,0.9616294415187687,0.9565007145952775,0.9600112031061162,1.0
3,0.38184019729395474,-0.021051798520696486,0.026960135546155745,0.9587449708822045,0.31447467980910226,0.9502307972603419,0.9539392014169457,0.9433787119062753,0.9839131599805843
4,0.40335821071827227,0.0,0.10612266248295962,0.966574448814857,0.28819835389845494,0.9381436663992062,0.9593508129463825,0.9477836099527993,0.9815480825831023
5,0.471489062491317,0.1246300767301403,0.1246300767301403,0.9880235200593538,0.42332084995357844,0.971133244898364,0.9598689049066761,0.9772785622593068,0.9939576486092935
6,0.3868584537427793,0.0012235031214991804,0.0012235031214991804,0.9548763239224849,0.45798552183919794,0.9607775910547091,0.9494546788628067,0.9716385168968859,0.9716385168968859
7,0.3628970932455116,0.17800561760453573,0.1604590052795401,0.9946666286387915,0.3890243837898674,0.8831034099090814,0.9791643818062103,0.9603955887459895,0.9546850998463902
8,0.4841881364224616,0.010308121991160742,0.15792227951363294,0.9770084209183945,0.3514631320372607,0.9192942336526304,0.9503819266229829,0.9512936152475293,0.9485630429005182
9,0.4747864228981501,0.17553753328714566,0.09165121363277544,0.9771280051981807,0.34999732150299917,0.9542560103963613,0.9746794344808963,0.9825921510132205,0.9825921510132205
10,0.4911976617391503,0.234359216640273,0.032160653479407025,0.9833783437888832,0.3457430353637398,0.9727469142278402,0.9833783437888832,0.9888264649460884,0.9832541484980983
11,0.4263495901369298,-0.7031230493106524,-0.7031230493106524,0.9944289260117531,0.4564751061155445,0.9432106794589232,0.9481507786158798,0.9283624821245959,0.9607212301901792
12,0.4062682682630925,0.07677862032965244,0.05839703408472431,0.9560355545824933,0.34836550492668994,0.9508970745943128,0.9695359714832659,0.9665252834832873,0.9773135093565752
13,0.3771119135109121,0.005612123644884462,-0.0007470291363801083,0.9127799924431279,0.45894277223793795,0.9880235200593538,0.9363244486749019,0.9533053097396169,0.9545571245186136
14,0.41582164254874576,0.0,0.0,0.9889499370655614,0.4071703368567621,0.9730408576407765,0.9730408576407765,0.9782582722940951,0.9944289260117531
15,0.38478932187983605,0.6761234037828133,0.17149314675672572,0.981761387347632,0.4723882246427069,0.9410359246913289,0.9225312080288851,0.9543814432989691,0.9938079899999065
16,0.411700580318785,0.0,0.1342160797961682,0.9795896894087645,0.34551399919293696,0.9381339357209211,0.9795896894087645,0.9490143644349804,0.9896370260347827
17,0.39335384112814875,0.011088225173092575,0.029322520755327073,0.9784921095801633,0.448270005568068,0.9733285267845753,0.9534625892455924,0.9717480957885217,0.9944903161976938
18,0.48280462963209286,0.06499412828217091,0.06499412828217091,0.9711754826918862,0.3176622720666716,0.9246347867567397,0.9824033179248569,0.949828359780586,0.9940297973880049
19,0.466169917600431,0.0,0.07827059031088823,0.9600034179762919,0.32188034926269815,0.9377523696333376,0.9406404502337088,0.94918681315774,0.94918681315774
20,0.41763306742749146,-0.0010035950945419027,0.07761422815045903,0.9835605239881408,0.4407087530859412,0.9628516673576119,0.9433981132056605,0.9889499370655614,0.9944289260117531
21,0.47119379976690645,0.674199862463242,0.0729029369350313,0.9701425001453319,0.42471773258454787,0.9534625892455924,0.9534625892455924,0.9534625892455924,1.0
22,0.43953180723935076,0.234359216640273,0.11285413411255053,0.9780192938436515,0.40744676017109394,0.9548763239224849,0.9727469142278402,0.9444857864754732,0.9943661523522511
23,0.40536499329439646,0.07957062266309461,0.09542854975778477,0.9791643818062103,0.35120536346774406,0.9692233691951198,0.9502171443197724,0.9718584937419051,0.9946666286387915
